date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:52	2361/2361	---M--	200	added ('OK')	image/png	etag:%225930450b-939%22	https://2015.dconstruct.org/assets/img/stars2.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/stars2.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:52	5211/5211	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-145b%22	https://2015.dconstruct.org/assets/img/moon.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/moon.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:52	236/236	---M--	200	added ('OK')	image/png	etag:%225930450b-ec%22	https://2015.dconstruct.org/assets/img/line.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/line.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:53	3656/3656	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-e48%22	https://2015.dconstruct.org/assets/img/ticket-sm.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/ticket-sm.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:53	3207/3207	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-c87%22	https://2015.dconstruct.org/assets/img/handle.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/handle.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:53	8612/8612	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-21a4%22	https://2015.dconstruct.org/assets/img/dconstruct-logo.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/dconstruct-logo.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:54	2598/2598	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-a26%22	https://2015.dconstruct.org/assets/img/ticket-lg.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/ticket-lg.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:54	77823/77823	---M--	200	added ('OK')	image/png	etag:%225930450b-12fff%22	https://2015.dconstruct.org/assets/img/speakers.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers.png	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:55	11137/11137	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-2b81%22	https://2015.dconstruct.org/assets/img/flying-car.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/flying-car.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:55	1004/1004	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-3ec%22	https://2015.dconstruct.org/assets/img/arrow-right-sm.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/arrow-right-sm.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:55	2039/2039	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-7f7%22	https://2015.dconstruct.org/assets/img/icon-link.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/icon-link.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:56	1726/1726	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-6be%22	https://2015.dconstruct.org/assets/img/icon-twitter.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/icon-twitter.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
